"room_type","reviews","overall_sa","bedrooms","price"
"Entire home/apt",1,3,0,269
"Entire home/apt",32,4.5,3,275
"Entire home/apt",9,5,2,290
"Entire home/apt",6,4.5,3,318
"Entire home/apt",13,5,3,350
"Entire home/apt",10,4.5,3,363
"Entire home/apt",5,4.5,2,365
"Entire home/apt",1,4,3,400
"Entire home/apt",4,4.5,5,400
"Entire home/apt",2,4.5,4,550
"Entire home/apt",0,0,4,550
"Private room",67,4.5,1,55
"Private room",4,5,1,65
"Private room",48,4.5,1,70
"Private room",11,5,1,75
"Private room",56,5,1,99
"Private room",4,5,1,99
"Private room",7,4.5,1,100
"Private room",83,5,1,105
"Private room",6,5,1,130
"Entire home/apt",5,4,2,170
"Private room",4,4.5,1,200
"Private room",0,0,1,710
"Private room",4,5,1,200
"Private room",13,5,1,66
"Entire home/apt",42,5,2,334
"Private room",0,0,1,69
"Entire home/apt",1,5,1,267
"Entire home/apt",2,4.5,2,425
"Private room",26,5,1,95
"Private room",0,0,1,50
"Entire home/apt",2,4,1,60
"Private room",0,0,1,65
"Private room",19,4.5,1,69
"Private room",0,0,1,70
"Private room",28,4.5,1,75
"Private room",6,4.5,1,75
"Private room",0,0,1,75
"Private room",0,0,1,80
"Entire home/apt",33,4,0,97
"Entire home/apt",0,0,0,99
"Entire home/apt",1,4,0,100
"Private room",7,4,1,105
"Private room",6,3,1,118
"Entire home/apt",36,4,0,119
"Private room",0,0,1,119
"Entire home/apt",1,4,2,120
"Entire home/apt",2,5,1,120
"Private room",26,5,1,120
"Shared room",1,4,1,125
"Entire home/apt",0,0,0,125
"Shared room",7,4.5,1,130
"Entire home/apt",15,4.5,1,135
"Entire home/apt",6,4.5,1,135
"Private room",12,4.5,1,135
"Private room",12,5,1,135
"Entire home/apt",6,5,0,137
"Entire home/apt",33,4,0,139
"Entire home/apt",0,0,0,140
"Entire home/apt",6,3.5,1,144
"Entire home/apt",0,0,0,144
"Entire home/apt",2,4.5,0,145
"Entire home/apt",13,5,0,145
"Entire home/apt",0,0,1,145
"Entire home/apt",1,5,1,147
"Entire home/apt",87,4.5,1,149
"Private room",115,5,1,149
"Private room",0,0,1,149
"Entire home/apt",17,4,0,150
"Entire home/apt",5,4.5,1,150
"Entire home/apt",3,4.5,1,150
"Private room",17,4.5,1,150
"Private room",22,5,1,150
"Entire home/apt",0,0,0,150
"Entire home/apt",0,0,0,150
"Private room",7,3.5,1,159
"Private room",1,4,1,160
"Private room",12,4.5,1,160
"Entire home/apt",9,5,0,160
"Entire home/apt",3,5,1,160
"Entire home/apt",1,5,1,160
"Private room",11,5,1,162
"Entire home/apt",49,4,1,165
"Entire home/apt",0,0,0,165
"Private room",2,0,1,170
"Entire home/apt",9,4.5,1,175
"Entire home/apt",10,5,0,175
"Entire home/apt",0,0,0,175
"Entire home/apt",0,0,1,176
"Entire home/apt",0,0,0,177
"Private room",6,4.5,1,180
"Entire home/apt",4,5,1,180
"Entire home/apt",0,0,1,180
"Entire home/apt",3,2,1,185
"Entire home/apt",8,3.5,0,185
"Entire home/apt",7,3.5,1,185
"Entire home/apt",4,5,0,185
"Entire home/apt",18,4,NA,186
"Entire home/apt",14,4.5,NA,186
"Entire home/apt",9,4.5,2,188
